ville,date_extraction,temperature,humidite,pression,description,temp,temp_min,temp_max,humidity,pressure,wind_speed,wind_deg,rain_1h,snow_1h,clouds,weather_main,weather_desc,timezone,sunrise,sunset
Paris,2025-06-19 13:54:11,28.07,43.0,1023.0,ciel dégagé,,,,,,,,,,,,,,,
London,2025-06-19 13:54:12,28.31,45.0,1024.0,ciel dégagé,,,,,,,,,,,,,,,
New York,2025-06-19 13:54:49,23.1,94.0,1010.0,brume,,,,,,,,,,,,,,,
Paris,2025-06-19 13:54:49,28.07,43.0,1023.0,ciel dégagé,,,,,,,,,,,,,,,
London,2025-06-19 13:54:49,28.31,45.0,1024.0,ciel dégagé,,,,,,,,,,,,,,,
New York,2025-07-02 10:27:28,23.05,92.0,1010.0,nuageux,,,,,,,,,,,,,,,
Tokyo,2025-07-02 10:27:24,29.87,74.0,1012.0,nuageux,,,,,,,,,,,,,,,
Paris,2025-07-02 10:27:24,25.04,65.0,1014.0,ciel dégagé,,,,,,,,,,,,,,,
London,2025-07-02 10:27:24,18.09,87.0,1015.0,nuageux,,,,,,,,,,,,,,,
Tokyo,2025-07-03T07:51:41.484640,,,,,30.47,29.03,31.47,64.0,1010.0,7.72,200.0,0.0,0.0,75.0,Clouds,nuageux,32400.0,2025-07-02T19:29:38,2025-07-03T10:00:51
Sydney,2025-07-03T07:46:41.837866,,,,,16.06,15.13,16.61,54.0,1011.0,6.69,240.0,0.0,0.0,100.0,Clouds,couvert,36000.0,2025-07-02T21:00:48,2025-07-03T06:57:33
Dubai,2025-07-03T07:46:41.837355,,,,,37.96,37.96,38.14,39.0,996.0,2.57,0.0,0.0,0.0,94.0,Clouds,couvert,14400.0,2025-07-03T01:32:38,2025-07-03T15:13:01
Paris,2025-07-03T07:51:41.484229,,,,,19.95,18.97,21.71,65.0,1027.0,4.63,40.0,0.0,0.0,40.0,Clouds,partiellement nuageux,7200.0,2025-07-03T03:52:26,2025-07-03T19:56:55
New York,2025-07-03T07:51:43.941208,,,,,22.84,20.45,24.19,86.0,1010.0,1.54,210.0,0.0,0.0,0.0,Clear,ciel dégagé,-14400.0,2025-07-03T09:29:37,2025-07-04T00:30:39
London,2025-07-03T07:51:41.209875,,,,,17.89,16.38,19.19,56.0,1028.0,3.09,330.0,0.0,0.0,2.0,Clear,ciel dégagé,3600.0,2025-07-03T03:49:00,2025-07-03T20:20:10
Tokyo,2025-07-03T08:02:01.222443,,,,,30.34,29.03,32.03,64.0,1010.0,7.72,200.0,0.0,0.0,75.0,Clouds,nuageux,32400.0,2025-07-02T19:29:38,2025-07-03T10:00:51
Sydney,2025-07-03T08:02:04.385009,,,,,15.23,13.75,15.76,57.0,1011.0,4.12,250.0,0.0,0.0,100.0,Clouds,couvert,36000.0,2025-07-02T21:00:48,2025-07-03T06:57:33
Dubai,2025-07-03T08:02:04.126086,,,,,37.96,37.96,38.14,39.0,996.0,2.57,0.0,0.0,0.0,94.0,Clouds,couvert,14400.0,2025-07-03T01:32:38,2025-07-03T15:13:01
Paris,2025-07-03T08:02:01.221111,,,,,20.11,19.43,21.32,65.0,1027.0,4.63,40.0,0.0,0.0,40.0,Clouds,partiellement nuageux,7200.0,2025-07-03T03:52:26,2025-07-03T19:56:55
New York,2025-07-03T08:02:01.358312,,,,,22.79,20.65,23.86,88.0,1010.0,0.89,328.0,0.0,0.0,1.0,Clear,ciel dégagé,-14400.0,2025-07-03T09:29:37,2025-07-04T00:30:39
London,2025-07-03T08:02:01.184050,,,,,18.33,16.86,19.74,55.0,1028.0,3.09,330.0,0.0,0.0,2.0,Clear,ciel dégagé,3600.0,2025-07-03T03:49:00,2025-07-03T20:20:10
Tokyo,2025-07-04T19:17:54.118670,,,,,26.39,23.77,27.1,81.0,1004.0,3.6,200.0,0.0,0.0,40.0,Clouds,partiellement nuageux,32400.0,2025-07-04T19:30:36,2025-07-05T10:00:34
Sydney,2025-07-04T19:18:02.940430,,,,,7.6,5.27,8.53,87.0,1023.0,2.57,320.0,0.0,0.0,0.0,Clear,ciel dégagé,36000.0,2025-07-04T21:00:35,2025-07-05T06:58:27
Dubai,2025-07-04T19:18:01.689612,,,,,33.96,33.96,34.14,62.0,997.0,3.09,220.0,0.0,0.0,87.0,Clouds,couvert,14400.0,2025-07-04T01:33:00,2025-07-04T15:13:00
Paris,2025-07-04T19:17:56.526415,,,,,26.08,24.31,27.25,31.0,1023.0,3.09,340.0,0.0,0.0,0.0,Clear,ciel dégagé,7200.0,2025-07-04T03:53:09,2025-07-04T19:56:33
New York,2025-07-04T19:17:53.642717,,,,,28.85,27.75,30.01,37.0,1017.0,5.14,330.0,0.0,0.0,20.0,Clouds,peu nuageux,-14400.0,2025-07-04T09:30:10,2025-07-05T00:30:27
London,2025-07-04T19:17:53.733873,,,,,24.18,22.79,25.0,40.0,1022.0,5.66,230.0,0.0,0.0,100.0,Clouds,couvert,3600.0,2025-07-04T03:49:47,2025-07-04T20:19:43
Tokyo,2025-07-04T19:38:08.648777,,,,,26.24,23.77,27.1,81.0,1004.0,3.09,200.0,0.0,0.0,75.0,Clouds,nuageux,32400.0,2025-07-04T19:30:36,2025-07-05T10:00:34
Sydney,2025-07-04T19:38:12.766326,,,,,7.38,5.27,7.98,87.0,1023.0,2.57,320.0,0.0,0.0,2.0,Clear,ciel dégagé,36000.0,2025-07-04T21:00:35,2025-07-05T06:58:27
Dubai,2025-07-04T19:38:12.489596,,,,,33.96,33.96,34.14,62.0,997.0,2.57,220.0,0.0,0.0,83.0,Clouds,nuageux,14400.0,2025-07-04T01:33:00,2025-07-04T15:13:00
Paris,2025-07-04T19:38:08.529414,,,,,25.07,23.38,26.14,33.0,1023.0,3.6,330.0,0.0,0.0,0.0,Clear,ciel dégagé,7200.0,2025-07-04T03:53:09,2025-07-04T19:56:33
New York,2025-07-04T19:38:08.635021,,,,,28.91,27.75,30.12,37.0,1017.0,5.14,330.0,0.0,0.0,20.0,Clouds,peu nuageux,-14400.0,2025-07-04T09:30:10,2025-07-05T00:30:27
London,2025-07-04T19:38:08.899540,,,,,23.5,21.7,24.45,42.0,1022.0,5.66,230.0,0.0,0.0,100.0,Clouds,couvert,3600.0,2025-07-04T03:49:47,2025-07-04T20:19:43
Tokyo,2025-07-05T16:51:02.321513,,,,,27.73,25.7,28.68,77.0,1003.0,1.03,0.0,0.0,0.0,75.0,Clouds,nuageux,32400.0,2025-07-05T19:31:06,2025-07-06T10:00:23
Sydney,2025-07-05T16:51:13.161833,,,,,11.86,10.75,12.9,89.0,1019.0,3.6,270.0,0.0,0.0,100.0,Clouds,couvert,36000.0,2025-07-05T21:00:26,2025-07-06T06:58:55
Dubai,2025-07-05T16:51:11.341648,,,,,32.96,32.96,34.14,70.0,996.0,3.6,250.0,0.0,0.0,0.0,Clear,ciel dégagé,14400.0,2025-07-05T01:33:23,2025-07-05T15:12:58
Paris,2025-07-05T16:51:02.328586,,,,,25.7,24.1,27.36,30.0,1017.0,5.14,290.0,0.0,0.0,0.0,Clear,ciel dégagé,7200.0,2025-07-05T03:53:53,2025-07-05T19:56:08
New York,2025-07-05T16:51:15.938156,,,,,28.61,27.19,30.16,41.0,1021.0,2.68,224.0,0.0,0.0,0.0,Clear,ciel dégagé,-14400.0,2025-07-05T09:30:45,2025-07-06T00:30:12
London,2025-07-05T16:51:10.380787,,,,,21.22,20.06,21.98,73.0,1012.0,6.17,240.0,0.0,0.0,100.0,Clouds,couvert,3600.0,2025-07-05T03:50:36,2025-07-05T20:19:14
Tokyo,2025-07-05T16:51:43.308687,,,,,27.8,26.99,28.68,77.0,1003.0,1.54,360.0,0.0,0.0,75.0,Clouds,nuageux,32400.0,2025-07-05T19:31:06,2025-07-06T10:00:23
Sydney,2025-07-05T16:51:48.703176,,,,,12.17,10.75,13.61,87.0,1019.0,3.09,10.0,0.0,0.0,100.0,Clouds,couvert,36000.0,2025-07-05T21:00:26,2025-07-06T06:58:55
Dubai,2025-07-05T16:51:43.214540,,,,,32.96,32.96,34.14,70.0,996.0,3.6,250.0,0.0,0.0,0.0,Clear,ciel dégagé,14400.0,2025-07-05T01:33:23,2025-07-05T15:12:58
Paris,2025-07-05T16:51:38.496661,,,,,25.51,24.52,27.36,30.0,1017.0,6.17,290.0,0.0,0.0,0.0,Clear,ciel dégagé,7200.0,2025-07-05T03:53:53,2025-07-05T19:56:08
New York,2025-07-05T16:51:53.030459,,,,,28.61,27.19,30.16,41.0,1021.0,2.68,224.0,0.0,0.0,0.0,Clear,ciel dégagé,-14400.0,2025-07-05T09:30:45,2025-07-06T00:30:12
London,2025-07-05T16:51:38.544469,,,,,21.22,20.06,21.98,73.0,1012.0,6.17,240.0,0.0,0.0,100.0,Clouds,couvert,3600.0,2025-07-05T03:50:36,2025-07-05T20:19:14
