ville_id,date_id,temp,temp_min,temp_max,humidity,pressure,wind_speed,rain_1h,snow_1h,clouds,weather_main
1,20250619,,,,,,,,,,
2,20250619,,,,,,,,,,
3,20250619,,,,,,,,,,
1,20250619,,,,,,,,,,
2,20250619,,,,,,,,,,
3,20250702,,,,,,,,,,
4,20250702,,,,,,,,,,
1,20250702,,,,,,,,,,
2,20250702,,,,,,,,,,
4,20250703,30.47,29.03,31.47,64.0,1010.0,7.72,0.0,0.0,75.0,Clouds
5,20250703,16.06,15.13,16.61,54.0,1011.0,6.69,0.0,0.0,100.0,Clouds
6,20250703,37.96,37.96,38.14,39.0,996.0,2.57,0.0,0.0,94.0,Clouds
1,20250703,19.95,18.97,21.71,65.0,1027.0,4.63,0.0,0.0,40.0,Clouds
3,20250703,22.84,20.45,24.19,86.0,1010.0,1.54,0.0,0.0,0.0,Clear
2,20250703,17.89,16.38,19.19,56.0,1028.0,3.09,0.0,0.0,2.0,Clear
4,20250703,30.34,29.03,32.03,64.0,1010.0,7.72,0.0,0.0,75.0,Clouds
5,20250703,15.23,13.75,15.76,57.0,1011.0,4.12,0.0,0.0,100.0,Clouds
6,20250703,37.96,37.96,38.14,39.0,996.0,2.57,0.0,0.0,94.0,Clouds
1,20250703,20.11,19.43,21.32,65.0,1027.0,4.63,0.0,0.0,40.0,Clouds
3,20250703,22.79,20.65,23.86,88.0,1010.0,0.89,0.0,0.0,1.0,Clear
2,20250703,18.33,16.86,19.74,55.0,1028.0,3.09,0.0,0.0,2.0,Clear
4,20250704,26.39,23.77,27.1,81.0,1004.0,3.6,0.0,0.0,40.0,Clouds
5,20250704,7.6,5.27,8.53,87.0,1023.0,2.57,0.0,0.0,0.0,Clear
6,20250704,33.96,33.96,34.14,62.0,997.0,3.09,0.0,0.0,87.0,Clouds
1,20250704,26.08,24.31,27.25,31.0,1023.0,3.09,0.0,0.0,0.0,Clear
3,20250704,28.85,27.75,30.01,37.0,1017.0,5.14,0.0,0.0,20.0,Clouds
2,20250704,24.18,22.79,25.0,40.0,1022.0,5.66,0.0,0.0,100.0,Clouds
4,20250704,26.24,23.77,27.1,81.0,1004.0,3.09,0.0,0.0,75.0,Clouds
5,20250704,7.38,5.27,7.98,87.0,1023.0,2.57,0.0,0.0,2.0,Clear
6,20250704,33.96,33.96,34.14,62.0,997.0,2.57,0.0,0.0,83.0,Clouds
1,20250704,25.07,23.38,26.14,33.0,1023.0,3.6,0.0,0.0,0.0,Clear
3,20250704,28.91,27.75,30.12,37.0,1017.0,5.14,0.0,0.0,20.0,Clouds
2,20250704,23.5,21.7,24.45,42.0,1022.0,5.66,0.0,0.0,100.0,Clouds
4,20250705,27.73,25.7,28.68,77.0,1003.0,1.03,0.0,0.0,75.0,Clouds
5,20250705,11.86,10.75,12.9,89.0,1019.0,3.6,0.0,0.0,100.0,Clouds
6,20250705,32.96,32.96,34.14,70.0,996.0,3.6,0.0,0.0,0.0,Clear
1,20250705,25.7,24.1,27.36,30.0,1017.0,5.14,0.0,0.0,0.0,Clear
3,20250705,28.61,27.19,30.16,41.0,1021.0,2.68,0.0,0.0,0.0,Clear
2,20250705,21.22,20.06,21.98,73.0,1012.0,6.17,0.0,0.0,100.0,Clouds
4,20250705,27.8,26.99,28.68,77.0,1003.0,1.54,0.0,0.0,75.0,Clouds
5,20250705,12.17,10.75,13.61,87.0,1019.0,3.09,0.0,0.0,100.0,Clouds
6,20250705,32.96,32.96,34.14,70.0,996.0,3.6,0.0,0.0,0.0,Clear
1,20250705,25.51,24.52,27.36,30.0,1017.0,6.17,0.0,0.0,0.0,Clear
3,20250705,28.61,27.19,30.16,41.0,1021.0,2.68,0.0,0.0,0.0,Clear
2,20250705,21.22,20.06,21.98,73.0,1012.0,6.17,0.0,0.0,100.0,Clouds
